frame                                    | matched    | sgil_err_m | gps_err_m  | gps_pose                         | rtk_pose                         | current_pose                     | estimated_pose
images/image_00002939.png                | False      |      32.16 |       1.08 | (x=33.89, y=0.37, yaw=-2.41°)    | (x=34.92, y=0.03, yaw=-2.41°)    | (x=55.42, y=-24.74, yaw=-2.41°)  | (x=55.42, y=-24.74, yaw=-2.41°)
images/image_00002954.png                | False      |      31.39 |       2.35 | (x=34.20, y=0.22, yaw=-2.84°)    | (x=36.53, y=-0.06, yaw=-2.84°)   | (x=55.73, y=-24.90, yaw=-2.84°)  | (x=55.73, y=-24.90, yaw=-2.84°)
images/image_00003000.png                | False      |      28.15 |       7.06 | (x=37.98, y=-1.53, yaw=-43.61°)  | (x=44.96, y=-2.55, yaw=-43.61°)  | (x=59.51, y=-26.65, yaw=-43.61°) | (x=59.51, y=-26.65, yaw=-43.61°)
images/image_00003015.png                | False      |      27.13 |       8.09 | (x=38.54, y=-3.69, yaw=-69.79°)  | (x=46.46, y=-5.34, yaw=-69.79°)  | (x=60.07, y=-28.81, yaw=-69.79°) | (x=60.07, y=-28.81, yaw=-69.79°)
images/image_00003030.png                | False      |      26.12 |       8.45 | (x=39.09, y=-6.59, yaw=-85.44°)  | (x=47.07, y=-9.38, yaw=-85.44°)  | (x=60.62, y=-31.71, yaw=-85.44°) | (x=60.62, y=-31.71, yaw=-85.44°)
images/image_00003045.png                | False      |      25.32 |       8.71 | (x=39.38, y=-10.37, yaw=-90.52°) | (x=47.20, y=-14.19, yaw=-90.52°) | (x=60.91, y=-35.48, yaw=-90.52°) | (x=60.91, y=-35.48, yaw=-90.52°)
images/image_00003060.png                | False      |      24.49 |       8.95 | (x=39.69, y=-14.58, yaw=-92.34°) | (x=46.98, y=-19.77, yaw=-92.34°) | (x=61.22, y=-39.69, yaw=-92.34°) | (x=61.22, y=-39.69, yaw=-92.34°)
images/image_00003075.png                | False      |      24.13 |       9.14 | (x=39.57, y=-20.16, yaw=-91.99°) | (x=46.62, y=-25.97, yaw=-91.99°) | (x=61.10, y=-45.27, yaw=-91.99°) | (x=61.10, y=-45.27, yaw=-91.99°)
images/image_00003090.png                | False      |      23.56 |       9.71 | (x=39.15, y=-26.65, yaw=-89.13°) | (x=46.57, y=-32.90, yaw=-89.13°) | (x=60.68, y=-51.76, yaw=-89.13°) | (x=60.68, y=-51.76, yaw=-89.13°)
images/image_00003105.png                | False      |      22.43 |      11.18 | (x=37.57, y=-34.03, yaw=-87.34°) | (x=46.73, y=-40.44, yaw=-87.34°) | (x=59.10, y=-59.15, yaw=-87.34°) | (x=59.10, y=-59.15, yaw=-87.34°)
images/image_00003120.png                | False      |      21.71 |      12.23 | (x=36.74, y=-41.90, yaw=-86.92°) | (x=47.11, y=-48.39, yaw=-86.92°) | (x=58.28, y=-67.01, yaw=-86.92°) | (x=58.28, y=-67.01, yaw=-86.92°)
images/image_00003135.png                | False      |      21.14 |      13.59 | (x=35.38, y=-50.26, yaw=-88.17°) | (x=47.48, y=-56.46, yaw=-88.17°) | (x=56.91, y=-75.37, yaw=-88.17°) | (x=56.91, y=-75.37, yaw=-88.17°)
images/image_00003151.png                | False      |      20.09 |      15.27 | (x=33.80, y=-58.79, yaw=-90.18°) | (x=47.57, y=-65.37, yaw=-90.18°) | (x=55.33, y=-83.91, yaw=-90.18°) | (x=55.33, y=-83.91, yaw=-90.18°)
images/image_00003166.png                | False      |      19.96 |      15.75 | (x=33.14, y=-67.29, yaw=-90.95°) | (x=47.49, y=-73.78, yaw=-90.95°) | (x=54.67, y=-92.41, yaw=-90.95°) | (x=54.67, y=-92.41, yaw=-90.95°)
images/image_00003181.png                | False      |      20.04 |      15.67 | (x=33.03, y=-75.65, yaw=-91.68°) | (x=47.31, y=-82.08, yaw=-91.68°) | (x=54.56, y=-100.76, yaw=-91.68°) | (x=54.56, y=-100.76, yaw=-91.68°)
images/image_00003196.png                | False      |      20.49 |      15.13 | (x=33.22, y=-84.05, yaw=-91.79°) | (x=47.06, y=-90.18, yaw=-91.79°) | (x=54.75, y=-109.17, yaw=-91.79°) | (x=54.75, y=-109.17, yaw=-91.79°)
images/image_00003211.png                | False      |      20.95 |      14.22 | (x=33.87, y=-91.92, yaw=-91.86°) | (x=46.75, y=-97.96, yaw=-91.86°) | (x=55.40, y=-117.04, yaw=-91.86°) | (x=55.40, y=-117.04, yaw=-91.86°)
images/image_00003226.png                | False      |      21.63 |      13.52 | (x=34.17, y=-99.70, yaw=-92.20°) | (x=46.51, y=-105.24, yaw=-92.20°) | (x=55.70, y=-124.81, yaw=-92.20°) | (x=55.70, y=-124.81, yaw=-92.20°)
images/image_00003241.png                | False      |      22.22 |      12.84 | (x=34.43, y=-107.09, yaw=-92.99°) | (x=46.19, y=-112.25, yaw=-92.99°) | (x=55.96, y=-132.20, yaw=-92.99°) | (x=55.96, y=-132.20, yaw=-92.99°)
images/image_00003256.png                | False      |      22.86 |      12.25 | (x=34.57, y=-113.95, yaw=-92.77°) | (x=45.90, y=-118.61, yaw=-92.77°) | (x=56.10, y=-139.07, yaw=-92.77°) | (x=56.10, y=-139.07, yaw=-92.77°)
